股票代码,企业名称,数字技术应用,人工智能技术,区块链技术,大数据技术,云计算技术,总词频数,数字化转型综合指数,排名
000100,TCL科技集团股份有限公司,3,5,0,0,0,8,17.29214536,24
000157,中联重科股份有限公司,0,10,0,0,0,10,5.880591876,40
000401,唐山冀东水泥股份有限公司,0,1,0,0,0,1,0.588059188,69
000422,湖北宜化化工股份有限公司,0,0,0,0,0,0,0,88
000425,徐工集团工程机械股份有限公司,5,2,0,0,0,7,25.09586742,19
000548,湖南投资集团股份有限公司,0,0,0,0,0,0,0,88
000550,江铃汽车股份有限公司,2,0,0,1,0,3,27.53670786,16
000554,中国石化山东泰山石油股份有限公司,1,0,0,0,0,1,4.783949808,42.5
000559,万向钱潮股份公司,0,3,0,0,0,3,1.764177563,53.5
000639,西王食品股份有限公司,2,1,0,0,0,3,10.1559588,30
000651,珠海格力电器股份有限公司,11,4,0,0,0,15,54.97568464,4
000655,山东金岭矿业股份有限公司,0,0,0,0,0,0,0,88
000708,中信泰富特钢集团股份有限公司,1,6,0,0,0,7,8.312304933,34
000729,北京燕京啤酒股份有限公司,6,0,0,0,0,6,28.70369885,13
000798,中水集团远洋股份有限公司,0,1,0,0,0,1,0.588059188,69
000801,四川九洲电器股份有限公司,0,3,0,0,0,3,1.764177563,53.5
000856,唐山冀东装备工程股份有限公司,0,2,0,0,0,2,1.176118375,60.5
000858,宜宾五粮液股份有限公司,3,0,0,0,0,3,14.35184942,26.5
000876,新希望六和股份有限公司,0,3,0,0,0,3,1.764177563,53.5
000890,江苏法尔胜股份有限公司,0,0,0,0,0,0,0,88
000898,"
公司",3,0,0,0,0,3,14.35184942,26.5
000933,河南神火煤电股份有限公司,0,0,0,0,0,0,0,88
000960,云南锡业股份有限公司,0,3,0,0,0,3,1.764177563,53.5
001896,河南豫能控股股份有限公司,1,3,0,0,0,4,6.548127371,37
002001,浙江新和成股份有限公司,0,2,0,0,0,2,1.176118375,60.5
002062,宏润建设集团股份有限公司,0,0,0,0,0,0,0,88
002064,华峰化学股份有限公司,0,6,0,0,0,6,3.528355125,46
002109,陕西兴化化学股份有限公司,0,0,0,0,0,0,0,88
002135,浙江东南网架股份有限公司,0,7,0,0,0,7,4.116414313,44
002202,金风科技股份有限公司,4,1,0,0,0,5,19.72385842,22
002223,江苏鱼跃医疗设备股份有限公司,7,4,0,0,0,11,35.83988541,9
002236,浙江大华技术股份有限公司,0,53,0,3,0,56,85.07356166,2
002270,华明电力装备股份有限公司,0,3,0,0,0,3,1.764177563,53.5
002314,深圳市新南山控股（集团）股份有限公司,2,0,0,0,0,2,9.567899616,32.5
002415,杭州海康威视数字技术股份有限公司,10,23,0,0,0,33,61.36485939,3
002422,四川科伦药业股份有限公司,0,6,0,0,0,6,3.528355125,46
002475,立讯精密工业股份有限公司,4,4,0,1,0,9,39.45684422,8
002559,亚联机械股份有限公司,0,0,0,0,0,0,0,88
002571,安徽德力日用玻璃股份有限公司,6,0,0,0,0,6,28.70369885,13
002594,比亚迪股份有限公司,1,3,0,1,0,5,24.51693561,20
002648,卫星化学股份有限公司,0,4,0,0,0,4,2.35223675,48.5
002747,南京埃斯顿自动化股份有限公司,0,13,0,0,0,13,7.644769438,35
002838,山东道恩高分子材料股份有限公司,0,0,0,0,0,0,0,88
002917,深圳市金奥博科技股份有限公司,0,3,0,0,0,3,1.764177563,53.5
002933,北京新兴东方航空装备股份有限公司,0,1,0,0,0,1,0.588059188,69
300037,深圳新宙邦科技股份有限公司,0,0,0,0,0,0,0,88
300124,深圳市汇川技术股份有限公司,0,18,0,0,0,18,10.58506538,29
300164,通源石油科技集团股份有限公司,0,0,0,0,0,0,0,88
300165,江苏天瑞仪器股份有限公司,2,1,0,5,0,8,100,1
300223,北京君正集成电路股份有限公司,1,17,0,1,0,19,32.74976424,10
300293,沈阳蓝英工业自动化装备股份有限公司,0,1,0,0,0,1,0.588059188,69
300401,浙江花园生物医药股份有限公司,0,0,0,0,0,0,0,88
300777,中简科技股份有限公司,0,0,0,0,0,0,0,88
300955,嘉亨家化股份有限公司,0,0,0,0,0,0,0,88
600006,东风汽车股份有限公司,0,0,0,0,0,0,0,88
600028,中国石油化工股份有限公司,0,2,0,0,0,2,1.176118375,60.5
600066,"年年度报告
公司",0,0,0,0,0,0,0,88
600075, 公司,0,0,0,0,0,0,0,88
600141,湖北兴发化工集团股份有限公司,0,0,0,0,0,0,0,88
